NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
21478665,1,1,1,1,0,1,0,210634479181884
21701145,1,0,1,1,0,1,0,263053301423244
21951425,1,1,1,1,0,1,0,69948944558949
22097555,1,1,1,1,0,1,0,22283064745117
2222773,0,1,1,1,1,0,1,275092940383223
22558890,0,1,1,1,1,0,1,128000818402623
22594779,1,0,1,1,0,1,0,175095677413296
2396816,1,1,1,1,0,1,0,168309318791505
24287515,1,1,1,1,0,1,0,134489996651179
2561502,1,1,1,1,0,1,0,51235313660307
26151372,1,1,1,1,0,1,0,252008114821246
26472146,1,1,1,1,0,1,0,214877430331434
26794206,1,1,1,1,0,1,0,172735244561261
27107577,1,1,1,1,0,1,0,133294165862756
27854184,1,1,1,1,0,1,0,110529493317616
27859327,1,0,1,1,0,1,0,185957541721461
28100367,1,0,1,1,0,1,0,278280947032385
28295187,1,0,1,1,0,1,0,33131303414468
28364906,1,1,1,1,0,1,0,219060895300687
28421623,1,1,1,1,0,1,0,208508161076799
28887933,1,1,1,1,0,1,0,26331872224401
28954422,1,1,1,1,0,1,0,212522808483178
29421951,0,0,1,1,0,0,1,136070098425866
29575941,1,1,1,1,0,1,0,128805848824389
29687270,1,1,1,1,0,1,0,170346119276948
30666336,0,1,1,1,1,0,1,107606531993481
30676133,0,0,1,1,0,0,1,97596314791729
31227244,1,0,1,1,0,1,0,194601596097939
31488108,1,1,1,1,0,1,0,98427025409403
31575690,1,1,1,1,0,1,0,212923651913194
31665604,1,1,1,1,0,1,0,51145309888586
3187727,1,0,1,1,0,1,0,141184768624881
3193850,1,1,1,1,0,1,0,208842898064496
32040613,1,0,1,1,0,1,0,136056015268319
32116416,1,1,1,1,0,1,0,231746624085438
32375042,1,1,1,1,0,1,0,97065050743825
32760486,1,1,1,1,0,1,0,9964484871240
33465755,1,1,1,1,0,1,0,255229881462580
3369725,1,1,1,1,0,1,0,5026558194845
33800407,0,1,1,1,1,0,1,194403437672834
34040397,1,1,1,1,0,1,0,158852524705468
34151701,1,1,1,1,0,1,0,274894278838992
34454582,1,1,1,1,0,1,0,128674819300173
34916242,1,1,1,1,0,1,0,155144031694228
35232377,1,1,1,1,0,1,0,231956263451719
35268836,0,0,1,1,0,0,1,42223843929115
35614470,1,1,1,1,0,1,0,234612182378481
35835178,1,1,1,1,0,1,0,61107285308729
36221089,1,1,1,1,0,1,0,262805721726845
36320182,1,1,1,1,0,1,0,262984771775672
36366977,1,1,1,1,0,1,0,240157305665241
36503883,1,1,1,1,0,1,0,176685516683190
37558701,1,1,1,1,0,1,0,46608614750235
37567206,1,1,1,1,0,1,0,278084931371245
38025547,1,1,1,1,0,1,0,190473537640224
38213001,1,1,1,1,0,1,0,41120964033254
38248305,0,1,1,1,1,0,1,21928003867264
